,mouse,session,fiber side,trial numbers,trial type,side,outcome,last trial type,last choice,last outcome,next trial type,next choice,next outcome,norm APE,stay or switch
46,SNL_photo21,20200829,left,183.0,6.0,ipsi,0.0,3.0,ipsi,1.0,4.0,ipsi,0.0,2.577725468211687,stay
47,SNL_photo21,20200829,left,489.0,7.0,contra,1.0,6.0,contra,1.0,7.0,contra,1.0,2.568622045320198,stay
48,SNL_photo21,20200829,left,236.0,7.0,contra,1.0,5.0,contra,1.0,2.0,ipsi,1.0,2.5612534118505783,stay
49,SNL_photo21,20200829,left,64.0,4.0,contra,0.0,4.0,ipsi,1.0,4.0,contra,0.0,2.529715693604295,switch
50,SNL_photo21,20200829,left,363.0,6.0,contra,1.0,7.0,contra,1.0,2.0,ipsi,1.0,2.5213945791547663,stay
51,SNL_photo21,20200829,left,325.0,7.0,contra,1.0,7.0,contra,1.0,7.0,contra,1.0,2.500984292759561,stay
52,SNL_photo21,20200829,left,508.0,6.0,contra,1.0,5.0,ipsi,0.0,7.0,contra,1.0,2.4482121398449186,switch
53,SNL_photo21,20200829,left,295.0,2.0,ipsi,1.0,6.0,contra,1.0,3.0,ipsi,1.0,2.4399431198927752,switch
54,SNL_photo21,20200829,left,138.0,4.0,contra,0.0,1.0,ipsi,1.0,1.0,ipsi,1.0,2.4393381384082753,switch
55,SNL_photo21,20200829,left,42.0,4.0,contra,1.0,2.0,contra,0.0,1.0,ipsi,1.0,2.4222269568213024,stay
56,SNL_photo21,20200829,left,382.0,7.0,contra,1.0,7.0,contra,1.0,4.0,contra,0.0,2.421665625598987,stay
57,SNL_photo21,20200829,left,167.0,5.0,ipsi,0.0,7.0,contra,1.0,1.0,ipsi,1.0,2.420765736393856,switch
58,SNL_photo21,20200829,left,129.0,1.0,ipsi,1.0,3.0,contra,0.0,6.0,contra,1.0,2.420584929712576,switch
59,SNL_photo21,20200829,left,156.0,5.0,contra,1.0,5.0,ipsi,0.0,6.0,contra,1.0,2.405107326174552,switch
60,SNL_photo21,20200829,left,274.0,6.0,contra,1.0,3.0,contra,0.0,7.0,contra,1.0,2.3971479516428427,stay
61,SNL_photo21,20200829,left,427.0,7.0,contra,1.0,3.0,contra,0.0,5.0,ipsi,0.0,2.3920097146888,stay
62,SNL_photo21,20200829,left,240.0,7.0,contra,1.0,4.0,contra,1.0,4.0,contra,0.0,2.3850988673383315,stay
63,SNL_photo21,20200829,left,331.0,2.0,ipsi,1.0,1.0,ipsi,1.0,6.0,contra,1.0,2.38343123068473,stay
64,SNL_photo21,20200829,left,114.0,5.0,contra,1.0,4.0,contra,0.0,5.0,contra,1.0,2.3817140938762225,stay
65,SNL_photo21,20200829,left,390.0,7.0,contra,1.0,7.0,contra,1.0,4.0,ipsi,0.0,2.379599483319269,stay
